RowNumber,CustomerId,Surname,FirstName,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1030,11197083,Yadav,Rahul,590,Tamil Nadu,Male,49,9,359970.97,2,1,0,620730.07,0
1031,14699284,Chatterjee,Aditya,712,Maharashtra,Male,43,9,852838.76,1,1,0,1035430.62,0
1032,19694140,Shah,Rajesh,521,Karnataka,Male,30,9,0.0,2,1,1,1395674.12,0
1033,12566681,Kumar,Deepak,330,Maharashtra,Male,29,3,1302980.07,1,1,0,1473480.05,0
1034,12121010,Gupta,Sunita,367,Maharashtra,Female,33,1,0.0,2,0,0,1315705.11,0
1035,19510131,Nair,Priya,781,Maharashtra,Female,52,8,213716.37,2,0,1,349248.07,1
1036,12106427,Rao,Ananya,395,Tamil Nadu,Female,61,2,0.0,3,1,1,365227.17,0
1037,15171368,Mishra,Sneha,524,Delhi,Female,21,6,0.0,1,1,1,657178.8,0
1038,12615281,Das,Aditya,848,Tamil Nadu,Male,21,3,1243225.05,2,0,0,2212350.3,0
1039,10848157,Iyer,Priya,645,Maharashtra,Female,57,0,0.0,2,1,0,438795.29,1
1040,19277870,Chopra,Rekha,522,Delhi,Female,60,7,0.0,1,0,1,1855372.55,1
1041,10149695,Srivastava,Arjun,583,Karnataka,Male,38,3,1134524.65,1,1,0,2080976.22,0
1042,13511353,Verma,Riya,553,Tamil Nadu,Female,56,5,842328.08,2,1,0,423515.29,0
1043,15325476,Chatterjee,Nisha,419,Delhi,Female,51,6,0.0,2,0,1,1564343.0,0
1044,16106806,Pillai,Shreya,437,Karnataka,Female,21,7,1449091.87,1,0,0,1964280.04,0
1045,15883234,Tiwari,Nikhil,627,Gujarat,Male,56,9,0.0,4,1,1,2043400.06,1
1046,10332992,Malhotra,Kavya,894,Karnataka,Female,29,1,361657.18,1,1,1,247278.63,0
1047,19998559,Gupta,Aarav,839,Maharashtra,Male,42,8,626903.43,2,1,0,1421660.23,0
1048,17462480,Nair,Amit,387,Maharashtra,Male,48,9,1370202.01,2,1,0,612376.6,1
1049,16819540,Verma,Siddharth,672,Gujarat,Male,46,2,309083.37,2,1,0,2243188.04,0
1050,16096217,Das,Rahul,690,Maharashtra,Male,30,0,1390655.87,2,1,0,1258433.46,0
1051,11862523,Singh,Rohan,639,Gujarat,Male,23,1,0.0,1,1,0,1144500.7,0
1052,17906267,Reddy,Rahul,813,Karnataka,Male,22,7,40168.82,4,1,0,659788.31,0
1053,18523035,Joshi,Riya,565,Gujarat,Female,57,9,0.0,1,0,1,635225.47,1
1054,13190525,Gupta,Meera,381,Tamil Nadu,Female,51,5,86657.23,2,0,1,2479691.08,1
1055,17571213,Kapoor,Sneha,697,Gujarat,Female,53,0,0.0,1,1,0,336905.24,0
1056,17038496,Yadav,Pranav,657,Delhi,Male,52,8,0.0,1,1,0,277594.26,1
1057,15462106,Patel,Kavya,480,Tamil Nadu,Female,63,6,627939.02,2,1,0,796912.95,0
1058,10568799,Mehta,Kavya,814,Delhi,Female,32,9,0.0,2,1,0,1030333.25,0
1059,14384011,Srivastava,Pranav,859,Karnataka,Male,23,2,0.0,1,1,0,1080683.61,0
1060,14106791,Reddy,Pooja,435,Karnataka,Female,46,6,1456395.57,1,0,1,624867.17,0
1061,14880772,Das,Pooja,564,Gujarat,Female,34,5,76029.19,2,1,1,2358717.52,1
1062,16121949,Tiwari,Pranav,502,Gujarat,Male,32,2,771991.6,2,1,1,2272923.26,0
1063,12514982,Tiwari,Nisha,781,Tamil Nadu,Female,46,7,396206.56,1,1,1,1333647.81,1
1064,19903423,Saxena,Kavya,586,Delhi,Female,36,0,0.0,2,0,0,1928404.6,0
1065,18442453,Menon,Suresh,432,Delhi,Male,28,4,0.0,1,0,1,701462.61,0
1066,11535880,Srivastava,Deepak,396,Tamil Nadu,Male,48,7,1315817.2,1,0,0,2163168.53,1
1067,14887197,Bose,Rohan,393,Maharashtra,Male,27,2,1330589.16,1,0,0,1135679.22,0
1068,12518238,Sharma,Nikhil,393,Maharashtra,Male,35,9,0.0,2,1,1,489800.12,0
1069,11579397,Patel,Pranav,594,Delhi,Male,61,5,846142.99,1,1,1,2019991.7,0
1070,12471779,Mishra,Rajesh,315,Delhi,Male,56,9,427933.31,1,1,1,1295318.63,0
1071,14105986,Pillai,Manish,773,Delhi,Male,28,1,0.0,2,1,1,1588357.0,0
1072,14423301,Mehta,Ananya,759,Maharashtra,Female,30,8,1380387.67,2,0,1,2306587.21,1
1073,10644895,Kumar,Vikram,510,Maharashtra,Male,35,1,95695.12,2,1,0,1507808.43,0
1074,10653982,Shah,Siddharth,858,Maharashtra,Male,38,4,893262.69,1,0,1,797543.35,0
1075,11275442,Das,Rohan,742,Gujarat,Male,57,2,542779.96,2,0,1,975564.86,0
1076,10888286,Joshi,Arjun,398,Delhi,Male,61,9,0.0,2,1,1,2166929.95,0
1077,14703198,Shah,Amit,319,Delhi,Male,63,8,0.0,1,0,1,2066009.99,0
1078,11774640,Patel,Rohan,320,Tamil Nadu,Male,64,8,502815.59,1,0,1,1895918.07,0
1079,16990303,Das,Arjun,480,Maharashtra,Male,55,6,35366.5,2,1,0,479156.32,0
1080,18806583,Iyer,Neha,784,Gujarat,Female,22,9,0.0,2,1,0,630858.09,1
1081,13083628,Menon,Rekha,860,Tamil Nadu,Female,42,4,951675.57,2,0,1,1810934.99,0
1082,12262101,Gupta,Aditya,699,Maharashtra,Male,35,8,298259.96,2,0,1,825108.82,0
1083,18086736,Pillai,Vikram,571,Delhi,Male,57,6,955335.0,1,1,0,1830319.41,1
1084,18194175,Shah,Rekha,322,Gujarat,Female,59,1,1118348.33,2,1,0,1788811.53,0
1085,14484836,Verma,Neha,407,Gujarat,Female,56,9,0.0,1,1,0,1545623.12,0
1086,18558140,Chatterjee,Deepak,323,Karnataka,Male,25,0,1134130.5,1,1,1,2472914.91,0
1087,15363498,Agarwal,Kavya,752,Karnataka,Female,35,9,0.0,2,1,0,2208666.57,0
1088,19099081,Singh,Aarav,840,Maharashtra,Male,47,9,337607.07,2,0,0,459888.57,0
1089,15831954,Pillai,Rahul,414,Gujarat,Male,36,3,206822.91,2,0,0,1881287.48,0
1090,11486509,Saxena,Kavya,693,Maharashtra,Female,56,9,0.0,1,0,0,2148749.03,1
1091,13281889,Agarwal,Priya,884,Gujarat,Female,58,7,290120.38,2,0,0,2202865.17,0
1092,14816922,Yadav,Isha,895,Karnataka,Female,38,5,1163993.09,2,1,0,1373147.36,0
1093,10323521,Verma,Rahul,703,Karnataka,Male,55,1,203575.1,2,1,1,2169687.9,0
1094,13122975,Chatterjee,Siddharth,401,Karnataka,Male,45,4,38687.83,2,0,1,2162114.77,0
1095,19655104,Desai,Siddharth,565,Maharashtra,Male,42,8,530955.13,1,1,0,1465130.38,0
1096,12370332,Pillai,Aarav,382,Maharashtra,Male,51,5,1178169.06,1,0,1,1435556.02,0
1097,10728388,Singh,Neha,595,Maharashtra,Female,57,5,978690.02,2,1,1,1607418.38,0
1098,17344615,Joshi,Meera,545,Maharashtra,Female,54,6,0.0,2,1,0,544824.27,0
1099,10198912,Tiwari,Shreya,560,Tamil Nadu,Female,43,4,689631.45,2,0,1,1894255.11,0
1100,15598081,Srivastava,Pooja,451,Delhi,Female,36,2,0.0,2,1,0,2245721.59,0
1101,19711485,Chatterjee,Siddharth,673,Maharashtra,Male,26,2,740812.52,1,1,0,1479174.83,0
1102,10617393,Patel,Isha,645,Gujarat,Female,35,4,1163415.2,1,1,0,1889480.66,0
1103,17510495,Kapoor,Divya,794,Gujarat,Female,38,3,1300331.7,1,1,0,1391746.1,0
1104,11437737,Shah,Deepak,417,Gujarat,Male,58,4,0.0,2,1,0,1483668.85,1
1105,14622823,Verma,Priya,673,Gujarat,Female,33,8,351779.34,1,1,0,1518810.52,0
1106,14242687,Nair,Aditya,428,Maharashtra,Male,44,4,772919.41,2,0,1,773064.47,0
1107,16768744,Nair,Pooja,502,Delhi,Female,33,3,1299348.4,3,1,0,1955540.73,1
1108,12286578,Desai,Aarav,498,Tamil Nadu,Male,21,3,1378021.97,1,1,1,1147095.91,0
1109,17984311,Kapoor,Arjun,376,Tamil Nadu,Male,56,0,0.0,1,1,0,319058.11,0
1110,18650622,Sharma,Shreya,746,Maharashtra,Female,38,9,458187.88,1,1,1,1304537.13,0
1111,17562898,Srivastava,Rekha,725,Tamil Nadu,Female,53,3,1155572.28,1,1,1,468398.65,0
1112,10984760,Nair,Pranav,807,Maharashtra,Male,58,3,0.0,2,0,0,2034196.31,0
1113,18752940,Banerjee,Karan,351,Maharashtra,Male,63,8,126375.32,2,1,1,577806.77,0
1114,16200969,Pandey,Vikram,477,Karnataka,Male,26,3,706922.01,2,1,0,2274956.62,0
1115,12774707,Bose,Rohan,748,Karnataka,Male,37,6,746055.52,2,1,0,2240845.41,0
1116,14858142,Iyer,Ananya,412,Karnataka,Female,24,0,0.0,1,1,1,2241019.34,0
1117,14314353,Pillai,Riya,535,Maharashtra,Female,34,6,0.0,2,1,1,915279.75,0
1118,16619333,Mehta,Amit,465,Gujarat,Male,50,1,0.0,2,1,1,915338.5,1
1119,15298736,Malhotra,Riya,850,Delhi,Female,40,7,0.0,1,1,0,1020331.44,0
1120,19357239,Sharma,Amit,597,Maharashtra,Male,28,0,0.0,1,1,0,2223393.39,1
1121,13387143,Malhotra,Shreya,679,Gujarat,Female,22,9,1474630.95,2,1,0,1064891.41,0
1122,14568499,Sharma,Pranav,466,Gujarat,Male,57,2,0.0,1,0,0,1493365.05,0
1123,15870267,Tiwari,Suresh,853,Gujarat,Male,24,7,451739.71,2,1,0,2432978.44,0
1124,16833449,Malhotra,Anjali,661,Tamil Nadu,Female,30,9,911395.8,1,1,0,1799846.0,0
1125,10550414,Tiwari,Manish,753,Tamil Nadu,Male,40,7,429267.64,1,0,1,2028126.93,0
1126,15963379,Mishra,Anjali,803,Karnataka,Female,55,4,0.0,1,1,0,1245111.26,1
1127,12833258,Tiwari,Neha,756,Maharashtra,Female,30,4,0.0,2,1,0,1937231.72,0
1128,10633760,Malhotra,Arjun,597,Delhi,Male,48,7,1261999.78,1,0,0,2032892.53,0
1129,13108316,Mishra,Deepak,484,Delhi,Male,35,9,374316.44,1,1,1,1764865.18,0
1130,16451478,Bose,Isha,717,Delhi,Female,56,4,0.0,1,1,0,2498386.68,1
1131,18796911,Yadav,Divya,422,Tamil Nadu,Female,21,8,826462.84,1,1,0,363016.23,1
1132,12623522,Joshi,Rohan,536,Karnataka,Male,42,0,0.0,1,0,0,2110721.95,0
1133,13883302,Verma,Suresh,743,Maharashtra,Male,47,4,21197.75,1,1,0,683232.06,0
1134,10317945,Kumar,Divya,726,Maharashtra,Female,49,2,1323728.73,2,0,1,1635142.22,0
1135,16893207,Gupta,Arjun,360,Tamil Nadu,Male,35,2,1112988.49,2,0,0,2075791.5,1
1136,12232975,Tiwari,Karan,391,Maharashtra,Male,30,1,583221.45,1,1,0,1687006.01,0
1137,19400418,Sharma,Deepak,533,Gujarat,Male,40,2,1488116.3,1,0,1,814779.5,0
1138,18350785,Singh,Priya,830,Karnataka,Female,42,6,0.0,4,0,1,891691.4,0
1139,13049760,Mehta,Nisha,667,Karnataka,Female,29,7,1107958.03,2,1,0,1572304.01,0
1140,12556051,Joshi,Anjali,536,Karnataka,Female,52,7,1081176.82,2,1,0,2280569.05,0
1141,18354788,Srivastava,Neha,590,Tamil Nadu,Female,37,7,1420545.65,1,1,0,1704224.26,0
1142,16292549,Srivastava,Shreya,660,Delhi,Female,62,0,1237518.8,1,1,0,1164500.8,0
1143,19489908,Kumar,Siddharth,437,Tamil Nadu,Male,39,6,0.0,2,0,0,2186390.59,0
1144,12798937,Gupta,Shreya,541,Karnataka,Female,60,1,0.0,1,1,1,872912.34,1
1145,16885599,Yadav,Nikhil,591,Delhi,Male,47,9,767162.12,1,1,0,1401981.63,1
1146,18235229,Tiwari,Divya,736,Gujarat,Female,57,3,158547.8,1,1,1,897984.31,0
1147,19329557,Chopra,Deepak,353,Tamil Nadu,Male,54,4,735420.92,1,1,1,2001231.63,0
1148,11464503,Saxena,Nikhil,827,Tamil Nadu,Male,30,0,0.0,1,1,0,645406.56,0
1149,16866930,Rao,Anjali,349,Gujarat,Female,50,3,1402201.3,2,1,1,1701551.28,0
1150,13569817,Joshi,Isha,488,Gujarat,Female,41,3,612887.32,2,1,1,1710591.74,0
1151,16593038,Joshi,Siddharth,812,Tamil Nadu,Male,41,8,228476.37,1,1,1,2340206.39,0
1152,14434822,Bose,Kavya,476,Tamil Nadu,Female,54,8,40495.2,1,1,0,1203574.27,0
1153,18754845,Kapoor,Rahul,518,Tamil Nadu,Male,29,9,499027.5,2,0,1,1331486.46,0
1154,17375891,Chopra,Amit,555,Tamil Nadu,Male,54,0,0.0,1,0,1,1569026.23,0
1155,18368646,Menon,Isha,657,Karnataka,Female,32,7,0.0,2,0,1,474437.88,0
1156,17190201,Patel,Aarav,489,Tamil Nadu,Male,41,3,0.0,2,1,1,1235755.24,0
1157,16212612,Joshi,Pooja,759,Maharashtra,Female,40,3,1250751.32,1,1,1,528245.79,0
1158,10606632,Mishra,Manish,308,Gujarat,Male,26,4,701151.16,1,1,1,2007692.86,0
1159,17881575,Bose,Divya,784,Gujarat,Female,56,1,1190284.01,2,0,0,938542.6,0
1160,11731813,Pillai,Divya,488,Maharashtra,Female,32,0,549288.76,1,0,1,1193543.47,0
1161,14000442,Malhotra,Arjun,322,Tamil Nadu,Male,61,4,1152968.16,1,1,1,836859.01,0
1162,16214403,Saxena,Suresh,596,Maharashtra,Male,51,6,610934.62,1,1,1,776633.2,0
1163,17841957,Desai,Ananya,627,Delhi,Female,22,9,1008712.94,2,0,1,2471096.06,0
1164,18522084,Pillai,Rekha,310,Tamil Nadu,Female,36,8,1071298.88,2,1,0,2112404.12,0
1165,12026439,Rao,Rahul,300,Maharashtra,Male,21,1,905708.47,2,1,0,1221993.71,0
1166,11243543,Rao,Siddharth,476,Tamil Nadu,Male,24,7,0.0,1,0,0,2101928.72,1
1167,13409050,Tiwari,Suresh,624,Tamil Nadu,Male,21,6,553753.0,1,0,0,1749817.08,0
1168,11552771,Menon,Siddharth,441,Karnataka,Male,55,1,0.0,1,1,0,1129563.93,1
1169,13738070,Das,Deepak,818,Maharashtra,Male,33,4,0.0,1,0,0,244962.7,1
1170,15544189,Malhotra,Suresh,422,Delhi,Male,62,6,0.0,1,1,1,2299377.35,1
1171,14120031,Pillai,Nisha,743,Karnataka,Female,51,2,1451182.45,2,1,1,706270.43,0
1172,15865062,Rao,Sunita,835,Gujarat,Female,40,1,415163.23,1,1,0,1861389.97,0
1173,17055474,Saxena,Kavya,538,Karnataka,Female,27,5,208840.22,2,1,0,2071753.92,0
1174,17155704,Joshi,Nisha,454,Delhi,Female,60,9,0.0,1,1,1,1541307.57,0
1175,12858472,Mishra,Rekha,306,Karnataka,Female,53,5,0.0,2,1,1,1703718.18,0
1176,11341605,Chopra,Arjun,737,Karnataka,Male,48,3,588792.68,2,0,1,339523.16,0
1177,14491543,Chatterjee,Divya,771,Tamil Nadu,Female,64,0,990397.53,1,1,0,1480174.69,0
1178,16099293,Patel,Divya,756,Maharashtra,Female,64,4,1054423.62,1,0,1,868014.84,0
1179,17598403,Kapoor,Pooja,748,Tamil Nadu,Female,40,0,0.0,1,1,0,1497466.88,0
1180,10331326,Mishra,Rahul,402,Karnataka,Male,52,7,0.0,2,1,1,1581722.12,0
1181,16126720,Joshi,Divya,485,Gujarat,Female,29,1,0.0,1,1,0,350077.18,0
1182,14698984,Reddy,Meera,717,Delhi,Female,54,8,0.0,1,0,1,1194197.24,1
1183,10910036,Mishra,Kavya,652,Karnataka,Female,34,8,0.0,2,1,0,2145046.81,0
1184,12600525,Nair,Priya,595,Gujarat,Female,24,2,0.0,2,1,1,460732.01,0
1185,16871110,Nair,Shreya,816,Maharashtra,Female,49,5,1078142.03,1,1,0,1918120.82,0
1186,12889063,Shah,Meera,821,Gujarat,Female,35,8,361466.44,1,0,0,1460453.98,0
1187,16770873,Srivastava,Deepak,783,Tamil Nadu,Male,37,6,718013.12,1,0,1,1604995.55,0
1188,17370529,Kapoor,Priya,521,Maharashtra,Female,39,3,0.0,1,0,1,230558.01,0
1189,13901366,Malhotra,Suresh,884,Delhi,Male,58,2,0.0,1,0,0,2184032.08,1
1190,18076771,Chatterjee,Ananya,843,Tamil Nadu,Female,29,1,1450825.71,1,0,0,2274202.9,0
1191,12701486,Verma,Neha,896,Maharashtra,Female,47,9,0.0,2,1,0,1626650.72,0
1192,15065174,Shah,Deepak,804,Karnataka,Male,35,9,0.0,1,0,1,2472399.92,0
1193,19002839,Desai,Rahul,581,Delhi,Male,57,0,1383685.4,1,0,0,880607.9,1
1194,10773392,Sharma,Kavya,692,Karnataka,Female,48,9,771025.4,2,1,1,664425.18,0
1195,13055062,Iyer,Nikhil,752,Maharashtra,Male,24,0,0.0,1,1,1,520665.13,0
1196,14733458,Tiwari,Nikhil,354,Gujarat,Male,41,3,1399523.39,1,1,1,599218.67,0
1197,14513831,Desai,Isha,355,Gujarat,Female,54,3,972084.81,2,0,0,259519.27,0
1198,10088698,Yadav,Rajesh,355,Gujarat,Male,39,8,791423.88,2,1,0,1811958.28,0
1199,15434915,Bose,Rahul,463,Tamil Nadu,Male,57,9,872762.64,1,1,1,1973781.26,0
1200,17856302,Das,Meera,788,Maharashtra,Female,24,0,1155327.32,2,1,0,207238.43,0
1201,10242283,Pandey,Suresh,307,Tamil Nadu,Male,57,3,82560.4,2,1,0,722181.98,0
1202,17858049,Tiwari,Rajesh,446,Maharashtra,Male,52,2,495539.81,2,1,0,686063.84,1
1203,18203534,Tiwari,Sneha,705,Maharashtra,Female,32,8,81935.73,2,0,1,1650818.43,0
1204,11935627,Reddy,Meera,365,Delhi,Female,61,4,1180403.88,2,1,0,2007827.81,0
1205,12410238,Desai,Anjali,438,Karnataka,Female,36,8,1372708.78,2,1,1,1847010.96,0
1206,13932252,Kumar,Meera,494,Tamil Nadu,Female,34,9,602254.14,2,1,0,1947891.2,0
1207,14828531,Srivastava,Isha,588,Tamil Nadu,Female,21,5,0.0,1,1,0,1833371.2,0
1208,19720995,Mehta,Pranav,757,Delhi,Male,52,8,0.0,2,1,1,1944251.06,0
1209,19913243,Rao,Vikram,728,Delhi,Male,41,0,15219.34,1,1,0,1483569.08,0
1210,19322679,Bose,Aarav,494,Gujarat,Male,24,3,820204.2,2,1,1,1446691.24,0
1211,13621000,Bose,Suresh,594,Delhi,Male,29,3,0.0,2,0,1,2087731.17,0
1212,10471779,Chatterjee,Pooja,720,Karnataka,Female,42,9,0.0,1,1,0,1600300.91,0
1213,15608207,Nair,Kavya,349,Maharashtra,Female,32,9,0.0,1,1,1,518477.84,0
1214,12223516,Bose,Suresh,569,Tamil Nadu,Male,50,5,0.0,2,0,1,2188869.02,0
1215,15011159,Rao,Anjali,677,Tamil Nadu,Female,50,9,301946.77,1,1,1,1297731.18,0
1216,18970465,Kumar,Suresh,841,Maharashtra,Male,52,0,0.0,1,1,0,764860.49,0
1217,17177795,Nair,Pranav,457,Maharashtra,Male,56,9,0.0,2,0,0,1051307.07,0
1218,17054708,Verma,Neha,420,Tamil Nadu,Female,27,4,0.0,1,1,1,1501987.71,0
1219,17518532,Sharma,Amit,877,Tamil Nadu,Male,37,2,1298352.2,2,0,1,1093579.38,0
1220,10534387,Pillai,Aarav,400,Delhi,Male,21,0,0.0,1,1,1,1554187.64,0
1221,16880446,Menon,Rajesh,632,Gujarat,Male,34,5,723133.6,3,1,0,1481477.24,0
1222,14148451,Pillai,Rohan,594,Maharashtra,Male,64,2,1407084.65,2,1,0,1460468.1,1
1223,14729965,Das,Ananya,725,Delhi,Female,64,3,0.0,2,1,1,1492256.9,0
1224,10342786,Mehta,Kavya,383,Gujarat,Female,58,8,157024.01,2,1,0,920492.58,0
1225,16388161,Banerjee,Rajesh,354,Delhi,Male,46,1,0.0,2,1,0,2179711.41,0
1226,19098576,Bose,Suresh,541,Karnataka,Male,47,0,1153479.31,1,1,1,1414902.09,0
1227,15202869,Verma,Rekha,445,Delhi,Female,36,9,331424.18,1,1,0,286150.81,0
1228,19940041,Chopra,Sneha,667,Delhi,Female,27,5,1498428.48,2,1,0,863299.14,1
1229,10915930,Agarwal,Aditya,472,Gujarat,Male,52,0,1444902.39,2,1,0,1843613.01,0
1230,12769241,Menon,Aarav,892,Delhi,Male,45,0,1281397.05,2,0,0,1724149.66,1
1231,17916252,Gupta,Sunita,330,Gujarat,Female,51,6,758312.5,2,1,0,631643.63,0
1232,15512394,Patel,Divya,692,Maharashtra,Female,36,1,764092.92,1,1,1,2495898.34,0
1233,15046325,Reddy,Rohan,708,Maharashtra,Male,61,3,0.0,1,1,0,1632132.06,0
1234,15765917,Rao,Meera,560,Maharashtra,Female,34,3,449501.88,1,0,0,938909.52,0
1235,17623535,Saxena,Aditya,818,Tamil Nadu,Male,45,1,0.0,2,0,1,1090833.64,0
1236,14749477,Nair,Suresh,545,Delhi,Male,50,5,0.0,2,0,1,2313529.08,0
1237,19786371,Mishra,Pranav,725,Gujarat,Male,27,9,0.0,2,1,1,1180208.25,0
1238,11450370,Malhotra,Shreya,747,Karnataka,Female,32,1,1338298.28,2,0,1,739342.66,0
1239,19280323,Patel,Arjun,516,Gujarat,Male,23,7,1087986.66,1,1,1,977351.02,0
1240,13514128,Desai,Rohan,829,Maharashtra,Male,47,3,0.0,1,1,0,1410015.48,0
1241,15021826,Singh,Vikram,416,Gujarat,Male,39,0,112753.17,1,1,0,545865.36,0
1242,10592400,Verma,Nisha,538,Tamil Nadu,Female,63,6,1241755.38,1,1,0,298269.37,0
1243,10693294,Sharma,Vikram,575,Tamil Nadu,Male,57,5,0.0,1,1,1,1116476.89,1
1244,15855747,Pillai,Rahul,301,Tamil Nadu,Male,62,5,0.0,1,0,1,2259306.94,0
1245,12939939,Verma,Suresh,674,Tamil Nadu,Male,27,2,0.0,2,0,1,2330880.4,0
1246,16171853,Chatterjee,Meera,589,Karnataka,Female,36,9,216626.62,2,1,0,2110981.11,1
1247,14867004,Singh,Rahul,424,Maharashtra,Male,52,6,1123965.44,1,0,1,575366.07,0
1248,14980339,Yadav,Siddharth,462,Maharashtra,Male,28,5,0.0,2,0,1,293171.7,0
1249,10970800,Singh,Nikhil,496,Gujarat,Male,33,9,421436.98,1,0,0,1404690.87,0
1250,15957151,Agarwal,Sneha,826,Karnataka,Female,31,9,709953.17,2,1,1,1750185.28,0
1251,16867312,Kumar,Siddharth,594,Tamil Nadu,Male,40,8,1175492.48,1,1,0,1701771.79,0
1252,18932339,Nair,Priya,762,Karnataka,Female,38,2,616498.58,2,0,0,807706.71,0
1253,10123566,Mishra,Kavya,839,Maharashtra,Female,57,2,820097.38,1,1,1,964482.03,0
1254,15120516,Saxena,Meera,311,Maharashtra,Female,26,3,0.0,2,1,0,2424810.62,0
1255,19272434,Banerjee,Aditya,494,Tamil Nadu,Male,40,2,480257.15,2,1,1,1170057.66,0
1256,13570069,Sharma,Isha,565,Delhi,Female,52,3,1412464.43,2,0,0,1683936.97,1
1257,19548018,Mehta,Suresh,636,Maharashtra,Male,64,5,1378917.83,2,0,0,1341547.24,0
1258,19461720,Malhotra,Arjun,575,Karnataka,Male,49,0,0.0,1,1,0,2163084.59,0
1259,11545657,Pandey,Meera,793,Maharashtra,Female,24,1,585771.66,1,1,1,2123437.36,0
1260,15551404,Kapoor,Manish,544,Karnataka,Male,27,9,0.0,1,0,1,1685495.51,0
1261,13323700,Mehta,Deepak,327,Delhi,Male,63,5,0.0,2,0,0,2341589.3,0
1262,16252610,Rao,Arjun,503,Tamil Nadu,Male,40,5,0.0,1,0,1,661957.24,0
1263,16127349,Menon,Sneha,612,Delhi,Female,54,0,1206341.81,1,1,0,1424802.25,0
1264,10651530,Kumar,Pranav,664,Karnataka,Male,56,5,775937.19,1,1,0,723965.77,0
1265,12667810,Joshi,Nisha,336,Maharashtra,Female,27,8,1340621.56,2,1,1,417822.14,0
1266,15027259,Mishra,Sunita,691,Maharashtra,Female,53,7,179816.8,1,1,1,1971136.57,0
1267,19535819,Shah,Isha,542,Delhi,Female,35,9,1245507.51,1,1,0,1601468.89,1
1268,18574780,Kumar,Nikhil,399,Karnataka,Male,52,4,0.0,1,0,0,421100.55,0
1269,17690971,Chopra,Neha,343,Karnataka,Female,42,3,0.0,1,1,1,2474098.51,0
1270,16902243,Yadav,Nikhil,364,Delhi,Male,60,5,939735.92,2,1,0,374245.1,1
1271,18583400,Desai,Manish,477,Tamil Nadu,Male,49,4,87255.27,1,0,1,1774481.38,0
1272,16771582,Nair,Aditya,446,Gujarat,Male,45,5,0.0,2,1,1,1581384.53,0
1273,11166316,Reddy,Vikram,860,Tamil Nadu,Male,25,9,562087.61,2,1,1,1140946.31,0
1274,14155658,Malhotra,Arjun,366,Maharashtra,Male,34,2,0.0,1,1,1,2177244.68,0
1275,19522680,Singh,Vikram,646,Karnataka,Male,55,6,652831.27,2,0,1,990853.22,0
1276,11075491,Mehta,Arjun,345,Maharashtra,Male,22,7,973661.63,4,1,0,2089225.51,0
1277,12616635,Gupta,Siddharth,369,Maharashtra,Male,45,4,0.0,1,0,0,1556565.09,1
1278,18785651,Patel,Pooja,713,Gujarat,Female,36,4,707579.15,1,0,1,1090638.37,0
1279,16245607,Verma,Pooja,753,Maharashtra,Female,36,3,189524.76,2,1,0,977767.64,0
1280,14201349,Banerjee,Neha,508,Karnataka,Female,31,9,122751.14,1,1,1,785649.01,0
1281,18394578,Yadav,Aditya,506,Karnataka,Male,55,4,0.0,2,1,0,219891.58,1
1282,18192546,Kapoor,Deepak,680,Tamil Nadu,Male,43,9,0.0,2,1,0,1620196.94,0
1283,10744100,Mishra,Isha,382,Karnataka,Female,25,7,1126096.45,1,1,0,1234326.86,0
1284,11705641,Malhotra,Nikhil,585,Maharashtra,Male,55,4,0.0,1,1,0,962314.75,0
1285,15237789,Shah,Priya,756,Delhi,Female,49,8,665040.14,2,0,1,587164.99,1
1286,11804885,Pandey,Nikhil,717,Karnataka,Male,25,0,1356165.57,1,0,1,182192.63,0
1287,12246743,Srivastava,Ananya,537,Maharashtra,Female,23,6,1063572.69,1,1,1,1747702.19,0
1288,14438411,Bose,Rohan,645,Delhi,Male,26,4,1150688.39,2,1,1,2174558.84,1
1289,13274449,Shah,Manish,665,Maharashtra,Male,43,3,709276.99,1,1,1,995607.45,0
1290,15727480,Das,Riya,656,Maharashtra,Female,22,2,1118813.47,2,0,1,1435536.5,0
1291,11497924,Rao,Neha,360,Delhi,Female,38,9,1009886.5,2,1,1,1567720.76,0
1292,19684838,Saxena,Rahul,683,Maharashtra,Male,50,6,204896.33,2,0,0,753448.72,0
1293,17537271,Pillai,Amit,462,Karnataka,Male,58,1,141241.62,1,1,0,1312079.16,0
1294,14168774,Das,Pooja,877,Tamil Nadu,Female,25,4,268961.52,2,1,0,1724564.3,1
1295,12713182,Singh,Vikram,312,Tamil Nadu,Male,31,1,123891.48,2,1,0,2212971.76,0
1296,19543302,Malhotra,Rohan,871,Maharashtra,Male,21,6,869048.83,1,0,1,2051687.48,0
1297,10412282,Pandey,Aditya,406,Maharashtra,Male,30,5,0.0,2,0,0,2196847.1,0
1298,15454712,Bose,Vikram,662,Maharashtra,Male,61,9,1161409.18,1,1,0,2492784.33,0
1299,16204892,Iyer,Neha,564,Karnataka,Female,64,6,0.0,1,1,0,788444.79,0
1300,12487507,Tiwari,Karan,407,Tamil Nadu,Male,46,8,1245965.9,1,1,1,1865602.39,0
1301,14202340,Singh,Manish,767,Maharashtra,Male,53,1,1352280.52,2,1,0,1482268.68,0
